职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
AI Agent研发专家-PICO,ByteDance,,北京,不限,5-7 年,,"1、负责AI Agent技术研发，提升大模型在XR设备的应用能力，包括Multi-Agent框架、评测机制等基础能力建设；
2、探索Agent方向的创新方法与技术，提出更先进的Agent范式，引领行业技术发展；
3、探索面向Agent的评估方法，构建Agent评估体系；
4、设计并实现易用高效的Agent开发周边套件工具，提升开发效率，降低使用Agent技术的门槛，保障交付质量。","1、熟练掌握C++/Python/Go等至少一门语言，有项目开发经验者优先；
2、对大模型有深入理解，熟悉LLM技术原理与应用方法，有Agent系统设计与实现经验；
3、熟悉Memory机制、RAG、工具调用、规划执行等Agent关键技术，有相关实践经验；
4、深入理解Agent相关技术方法，具备强化学习、规划算法实践经验者加分；
5、对AI原生应用有热情，具备快速复现论文及工程化能力，顶会论文或开源项目贡献者加分。",,刘悦悦,2025-10-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7566234876913158463
AR交互与感知架构师-PICO,ByteDance,,北京,硕士及以上,5-7 年,,"1、全面负责AR方向的交互与感知的架构搭建，分析研究当前AR领域内交互与感知技术的发展现状及趋势，从底层架构设计出发，规划并构建一套具备高度稳定性和扩展性的AR方向交互与感知架构体系；
2、拉通交互与感知各个内部团队，支持好AR方向的产品化落地，积极主动地与交互、感知等各个内部团队进行沟通与协作，组织定期的跨团队会议，分享项目进展、技术难题及解决方案，促进团队间的信息流通与资源共享；
3、探索AR未来关键的交互与感知技术，注重AR+AI技术的融合，基于眼动、语音、手势、图像等多模态信息，研究多模态信息的时空对齐、语义融合等方法，实现更精准的AR场景感知，提升用户交互效率与自然度；
4、建立与外部合作伙伴的技术合作与交流机制：积极拓展公司在AR领域的外部合作网络，与高校科研机构、上下游产业链企业、行业内优秀的技术公司等建立广泛的技术合作关系，充分整合外部优质技术资源，推动AR交互与感知技术的协同创新发展。","1、硕士及以上学位，计算机科学与技术、电子工程、人工智能、机器人工程等相关专业；
2、具备完整的AR交互与感知架构从0到1搭建及落地经验，主导过至少1个大型AR产品相关算法的架构设计；
3、有AR+AI多模态交互感知技术研发或项目落地经验的优先，能独立完成高稳定性、高扩展性的架构体系规划与建设；
4、具备跨团队协作及外部资源整合经验，有成功搭建内外部技术合作机制、推动协同创新的案例；
5、熟悉AR行业技术发展脉络，对行业趋势、上下游产业链有深刻理解。",,刘悦悦,2025-10-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7566253559173384457
营销/定价/预测算法,上海识装信息科技有限公司,,上海,--,--,,"1、负责电商业务场景中成本/收益、价格弹性等概率预估问题的建模，持续通过机器学习和因果推断手段提升准确率；
2、承担核心业务指标优化，利用因果推断、运筹规划、机器学习等技术，提升供需预测、定价、补贴等运营核心算法效果；
3、结合机器学习算法精准预测不同提前期的销量/单量/GMV等时间序列指标，将预测结果对接到产能准备和备货计划等高价值业务场景。","1、计算机/统计相关专业优先，5年以上互联网行业经验，熟悉常见的机器学习算法以及运筹优化理论；
2、有营销补贴、Uplift和收益管理、预估和归因、因果推断、时序预测等方面有实践经验者优先。",,三石(Alvin),2025-10-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7428630722548123945
视觉大模型服务部署技术专家/Leader-智能创作,ByteDance,,北京,本科及以上,5-7 年,,"1、带领并培养团队，保障视觉大模型服务系统设计和搭建、工程落地，包括系统设计、推理优化、服务部署和应用；
2、设计大模型推理服务系统，保障稳定性、低成本；
3、构建自动化部署和优化工具，确保工程交付效率；
4、保障中长期技术规划、重点项目规划与执行；
5、与业务侧产品研发团队合作，确保高标准的产品顺利交付，平衡短期收益和长期增长。","1、计算机科学或相关专业，拥有5年以上软件开发经验；
2、具备5年以上Python/C/C++/Go开发经验，精通至少一种编程语言，具备扎实的软件工程设计技能；
3、有大模型推理服务部署系统经验，熟悉VLLM/SGLang/Ray/RPC等，有并发处理系统和架构的经验；
4、具备出色的沟通和团队协作能力；
5、有大模型推理服务经验者优先，英文可作为工作语言者优先。",,董小涵,2025-10-28,,,,https://hire.feishu.cn/hunter/position?job_post_id=7566104035410020649
算法研究专家（大模型方向）-国际化内容安全,ByteDance,,北京,本科及以上,5-7 年,,"团队介绍：国际化内容安全平台团队致力于为字节跳动国际化产品的用户维护安全可信赖环境，通过开发、迭代机器学习模型和信息系统以更早、更快发掘风险、监控风险、响应紧急事件，以人工智能技术支持业务发展，力求更高效、更敏捷、更全能地维护站内生态安全。

1、负责视频内容安全场景下的多模态大模型研发，包括基座预训练、指令微调（SFT）、强化学习（RLHF）等核心技术探索；
2、主导内容安全场景中的Few-shot/Zero-shot策略设计，推动模型在复杂审核和风险识别任务中的泛化能力与鲁棒性；
3、设计并优化端到端的内容审核体系，构建高召回、高准确的风险识别、排序与召回模型；
4、推动数据驱动的模型优化，包括复杂风险的Chain-of-Thought标注框架、强化学习数据挖掘与对齐训练；
5、跟踪前沿研究成果（如NeurIPS，ICLR，CVPR，ACL等），将最新技术引入业务落地并形成突破；
6、在团队中发挥技术领军作用，指导核心研发工作，推动跨团队协作与技术标准化。","1、扎实的机器学习与深度学习基础，在LLM/VLM、计算机视觉或多模态领域有多年研发经验；
2、熟悉大模型的预训练、微调与对齐方法，有实际落地或开源大模型项目经验者优先；
3、精通PyTorch/TensorFlow等深度学习框架，具备大规模分布式训练与模型优化经验；
4、对内容安全、风险建模或审核场景有深入理解者优先；
5、在顶会/顶刊（NeurIPS，ICML，ICLR，CVPR，ACL等）有论文发表，或在业界大模型相关项目中担任核心研发角色者优先。",,俞欣,2025-10-27,,,,https://hire.feishu.cn/hunter/position?job_post_id=7565794045684353289
AI应用研发专家/负责人-剪映CapCut（广州/深圳/上海）,ByteDance,,深圳,本科及以上,不限,,"1、负责剪映AI业务的技术方案制定与落地，深度参与业务目标拆解，对技术效果和业务结果负全责；
2、主导团队技术架构设计与优化，平衡快速迭代与架构扩展性，推动大模型（如LLM、Agent）在图像/视频创作场景的应用落地；
3、跨部门协同产品、算法、运营团队，解决业务核心痛点（如成片效率、生图质量、用户体验），提升团队AI认知与协作效率；
4、制定团队技术规划与人才培养策略，推动技术经验沉淀与复用，提升团队整体能力。","1、工程能力：达到高级工程师要求，在一个工程领域（客户端/前端/后端）有3年以上独立IC经验且能做方案整体把控，需要在快速迭代和架构扩展性之间做好决策平衡；
2、模型能力：有一定基于LLM构建应用的经验，对模型能力和如何评估和提升效果有敏锐认知；
3、自驱能力：能够不断自主寻找当前最优价值的事情，即使在需求和优先级会快速变化的情况下；
4、加分项：
1）对Agent架构和优化有一定经验：包括不限于LLM评估、工具调用、上下文工程优化等；
2）对评估和使用Agentic工作流和工具栈有一定经验（有可能未来是必须）；
3）软素质：具备强业务敏感度、跨团队协作能力及问题解决能力，能清晰传递技术价值与业务目标。",,陈希宁,2025-10-23,,,,https://hire.feishu.cn/hunter/position?job_post_id=7564346072190273834
机械/高级机械工程师,上海禾赛科技有限公司,,上海,本科及以上,5-7 年,,"1、负责产品的顶层机械架构设计，协调光学、电子、自动化、质量、可靠性等各部门的需求，在产品性能、可靠性、自动化生产、成本等要求下做出最优的设计。
2、负责产品的结构设计，包括从方案设计、出图加工、样机装配、可靠性测试、零件开模、自动化装配的全流程。
3、解决产品设计和工艺开发过程中遇到的各种技术问题，支持项目顺利量产。
4、负责产品研发过程中各种技术文件的撰写，并按公司产品开发流程要求，在规定时间点内，组织和参与设计评审，完成设计文件交付和审核。
5、负责把重大问题的解决过程，专题研究成果等及时整理成文档，变成知识点汇总到部门知识库中，并在组内分享。
6、参与量产产品的技术改良，系统联调和测试，支持产品的小批量试产，直至顺利量产。
7、参与新产品的研发设计和量产导入。
8、完成上级交办的其它任务。","1、机械、力学、材料相关专业，本科及以上学历，3年以上机械设计相关工作经验。
2、专业基础扎实，动手能力强，对机械、工程有发自内心的喜爱，会在业余时间主动学习提升个人技能。
3、具备良好的主人翁精神，团队协作能力佳，抗压能力和执行力强，愿意为结果负责。
4、具备良好的逻辑分析能力和追求极致的自驱力，在多因素限制的情况下，能积极主动寻求设计上的全局最优解。
5、CET-4，英语听说读写能力良好。
6、能够熟练使用NX，SW等三维软件进行产品设计，能使用CAE仿真软件进行基础的静力学分析；对量产加工工艺、仿真分析、尺寸链计算、GD&T、螺丝力矩分析、胶水连接等有深入了解者优先；对相关专业领域基础认知者优先。
7、有车规电子产品开发经验者优先。
8、在密封设计、精密机械结构设计、生产与制造工艺等领域有丰富经验者优先。
熟悉汽车行业五大手册，有质量绿带、黑带证书者优先。",,朱盛,2025-10-22,,,,https://hire.feishu.cn/hunter/position?job_post_id=7222960112930572581
驱动器工程师,上海禾赛科技有限公司,,上海,硕士及以上,--,,"1、负责关节驱动模组，驱动器和减速器的设计工作，包括驱动部分（空心杯、BLDC等），减速器（平行轴/行星/谐波/摆线/RV等形式）等设计校核；
2、运用专业齿轴设计软件进行设计与优化计算，结合有限元分析软件对驱动模组整体结构及关键零部件进行强度、刚度、模态及动力学分析；
3、依据性能和可靠性需求，实现高扭矩密度、高效率、高负载、高传动比、低背隙等工作特性；
4、负责关节驱动模组及子系统集成、测试。","1、硕士以上学历，熟练掌握电机驱动原理、机械原理等，熟悉机械结构和机械传动，有扎实的理论基础，精通常用SW/NX/有限元等软件；
2、有3年以上的电机、平行轴/行星/谐波/摆线/RV等减速器研发设计经验，能独立完成产品设计开发；
3、有人形机器人、灵巧手关节驱动模组研发设计经验者优先；
4、熟悉驱动模组相关零件关键加工工艺，熟悉材料及热处理。",,朱盛,2025-10-20,,,,https://hire.feishu.cn/hunter/position?job_post_id=7552759305810233650
电子工程师,上海禾赛科技有限公司,,上海,本科及以上,5-7 年,,"1、完成硬件设计，如器件选型、原理图设计、电路仿真、DFMEA、设计文档编写等工作。
2、制定硬件测试方案，调试解决硬件问题。
3、审查其他工程师的原理图、PCB等硬件设计文件，参与硬件评审。","1、电子工程等相关专业，本科及以上学历，硕士优先。
2、具有较强的思维分析能力，善于从基础的物理原理上透彻地分析电路，并指导自己的设计方向。
3、具有较强的逻辑思维和条理性思维，善于设计科学而系统的实验验证电路系统的性能，一步一步排查电路的问题。
4、在以下至少一个领域内有丰富的经验：模拟电路，数字电路，电路降噪，带宽设计，信号处理，电源设计，信号完整性。
5、具有较好的动手能力，能熟练使用示波器，稳压电源，万用表，波形发生器等仪器。热爱动手做电路实验。
6、深度参与过某量产产品的硬件设计，有消费电子产品开发经验优先。
7、极强的责任心，上进心，以及自我推动的能力
8、对自然科学，工程技术的好奇心是极大的加分项。有业余时间电路开发经历者优先。",,朱盛,2025-10-17,,,,https://hire.feishu.cn/hunter/position?job_post_id=6982769114209454368
大服饰行业治理Leader-抖音电商,ByteDance,,上海,本科及以上,10 年以上,,"1、负责抖音电商服饰行业商家商品生态的治理优化，打造健康电商生态，持续改善消费者用户体验，完成治理目标；
2、基于用户在电商购物的需求洞察和量化分析，发现并定义影响消费者商品体验的关键问题，提升风险商品识别能力，配置差异化治理处置策略，并协同产品、算法、审核推进方案落地；
3、持续评估治理策略有效性、完善商品管理奖惩能力建设和治理策略改善提升，解决业务问题。","1、具备电商治理策略相关经验，有团队管理经验者优先；
2、熟悉用户需求的分析方法，能够洞察用户的购买决策逻辑，能够平衡用户需求和商家体验之间的关系制定持续提升用户体验的解决方案；
3、具备独立的数据分析能力，有目标驱动意识；
4、有良好的资源协调和沟通能力，有跨部门多方密切配合的经验和意识，需要有协调多方资源、推落地、拿结果的实战经验。",,毕篮心,2025-10-17,,,,https://hire.feishu.cn/hunter/position?job_post_id=7522468612298328370
