职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
技术战略（AI方向）,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、技术雷达构建：建立北美/欧洲AI实验室动态追踪体系（如DeepMind、OpenAI技术路线异动），预判12-18个月突破性技术拐点
2、生态级战略洞察：拆解AI产业链价值分布，识别生态技术护城河构建策略
3、跨域战略连接：在技术团队与资本决策层间建立价值转化通道，将技术突破转化为商业语言与
4、AI技术外交：拓展海外顶尖实验室、开源社区核心开发者等战略节点关系","1、2年以上科技赛道分析研判经验，英语可作为工作语言
3、技术灵气：能通过非常规数据源捕捉技术信号
3、战略网感：精准撬动关键人脉，技术逻辑重构商业叙事",1,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/17899
[通用]战略/投资,小红书,,"上海市,北京市",本科及以上,10年以上,,战略项目,战略项目,6,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/15278
用户研究定量分析师（商业方向）,小红书,,"上海市,北京市",本科及以上,3-5年,,"1、负责大商业（商业化+电商）用户的站内行为分析，包括但不限于针对C端用户的社区内容浏览分析、电商购买路径分析、广告的用户行为分析等；
2、配合定性研究独立开展用户研究项目全流程工作，包括需求判断和问题拆解、研究设计、项目节奏和进程管理、合理调配资源并输出研究报告；
3、熟悉对接的业务领域，关注行业和业务动态，能够输出对业务有价值的洞察。","1、本科及以上学历，1年以上数据分析、挖掘、建模工作经验，具备电商、广告数据经验者优先，计算机，统计学，数学专业优先，具有机器学习算法基础者加分；
2、掌握基本数据分析方法，对用户行为数据分析落地到业务有一定经验，有专业的分析报告撰写能力；有使用SQL、R，Python等数据分析经验，有建模经验择优；
3、对用户行为x数据科学有热情，具有主人翁精神，沟通表达能力优、抗压能力强、协调推动能力强。",1,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/7490
用户研究专家（商业方向）,小红书,,"上海市,北京市",本科及以上,3-5年,,"1、负责交易、商业化用户体验研究，包括但不限于针对C端用户品类心智挖掘、交易行为需求研究、商家经营痛点和工具需求研究、买手需求和体验研究、NPS体验监测、行业趋势研究等；
2、独立开展用户研究项目全流程工作，包括需求判断和问题拆解、研究设计、项目节奏和进程管理、合理调配资源并输出研究报告；
3、熟悉对接的业务领域，关注行业和业务动态，能够输出对业务有价值的洞察；
4、长期积累并沉淀交易体验和行业研究的方法论。","1、3年以上用研相关工作经验，具有互联网电商、商业化、或内容行业用研经验优先；
2、重点院校本科以上学历，商科、社会学、心理学、统计学等专业优先，具备扎实的定量和定性研究能力，熟练掌握SPSS/Python/SQL等数据分析能力加分；
3、性格开朗、主动性强、学习能力强、抗压能力强，能适应互联网行业快速和多线程并行节奏；
4、了解内容社区，深度内容类产品用户加分；喜欢探索和研究新事物，有生活方式的加分",4,谭天,,,,,https://hunter.xiaohongshu.com/position-detail/16055
决策支持BP,小红书,,"北京市,上海市",本科及以上,5-10年,,"工作职责
- 部门PMO：
1）结合业务与外部风险/趋势判断，推动业务战略目标设定以及落地实施的牵引；
2）从日常工作中发现问题，定义问题以及推动相关的讨论与对齐
- 外部趋势研判：通过市场调研、友商研究、以及外部监管、媒体、公众认知趋势洞察，研判趋势与潜在风险
- 专题研究：公共事务、公众关系相关领域的专题研究","任职资格
1. 对国内外宏观环境、政治经济领域以及体系有基础认知，有相关教育与工作背景为佳 
2. 具备战略洞察与分析能力，理解内容类平台在不同用户量级面临的不同问题，并从公共事务、公共关系等职能视角进行拆解分析
3. 落地推动能力，能够将公司战略进行拆解，并根据业务情况推动落地，且具备跨团队协同与沟通能力
4. 对国内外互联网企业，尤其社交媒体与内容相关领域，有一定的认知与手感",1,曾兰仪,,,,,https://hunter.xiaohongshu.com/position-detail/9724
语音大模型算法研究员,小红书,,"北京市,上海市",硕士及以上,3-5年,,"1.自研语音大模型算法在小红书丰富业务场景的落地，并持续优化语音大模型预训练、后训练效果，保持业内SOTA水平。 
2.跟进最领先的大模型语音技术，包括但不限于提出新的语音大模型算法框架、改进现有的算法、持续提升相关技术及业务指标，鼓励撰写论文及申请专利。","1.AI、EE、CS相关专业； 
2.在语音识别/理解、语音合成/编辑等泛语音方向均有一定经验； 
3.对工业级大规模数据有实际处理经验，有使用海量数据优化实际业务模型的动手经验； 
4.良好的团队沟通能力，积极思考，主动解决问题者优先； 
5.在相关国际会议或期刊（ICASSP、INTERSPEECH、 ASRU、ISMIR、 TASLP、 Speech Communication）发表过论文者优先",4,介佩玺,,,,,https://hunter.xiaohongshu.com/position-detail/18877
举报策略产品-T&S,小红书,,"北京市,上海市",本科及以上,3-5年,,"1、负责举报相关产品的建设与迭代，包括刻画用户举报体验，优化举报链路优化，降低举报费力度、优化举报后反馈链路，并为体验优化的结果负责；
2、基于数据分析、用户和社区生态洞察，定义举报业务场景的主要矛盾，制定相应的识别和处置方案，提升举报侧问题上浮和处置效率；
3、跨团队沟通协作，推进关键项目在业务落地，监控业务核心数据指标，提出优化建议，牵引算法和运营团队做功，共同达成业务目标。","1、本科及以上学历，有过生态治理、推荐策略产品经验的优先；
2、有较好的数据敏锐度和优秀的分析能力，具备较强的逻辑思维能力；
3、既具备业务抽象能力，也关注细节，善于将复杂问题拆解并推动执行；
4、具备较强的责任心、自驱力及跨团队、跨职能沟通协调能力，优秀的用户同理心，有良好的学习能力。",1,刘哲,,,,,https://hunter.xiaohongshu.com/position-detail/18426
数据科学/数据挖掘-电商业务,小红书,,"北京市,上海市",本科及以上,5-10年,,"1、了解推荐算法和电商业务，使用因果推断、机器学习等技术，主动挖掘流量、业务策略等方面存在的机会点；
2、通过对业务的敏锐洞察、定性和定量分析、模型建设、以及实验验证，提出商业价值的洞见和落地；
3、建模LTV预估；
4、完成较为深入的专项分析，给出策略建议、科学衡量标准；
5、与跨职能团队高效沟通，推动算法策略应用落地并持续进行优化。","1、计算机、统计学、数据科学或相关专业硕士；
2、扎实的机器学习与统计学基础，熟练使用SQL、Python/R；
3、熟悉内容平台搜索、推荐或增长策略，有相关经验者优先；
4、善于沟通，工作积极主动，有主人翁意识，责任心强，具备良好的团队协作能力与承压能力；
5、具备强烈的好奇心和自我驱动力，喜欢接受挑战，追求极致。",4,邵静静,,,,,https://hunter.xiaohongshu.com/position-detail/18866
【热招】iOS 开发工程师 - Hi Lab（点点 AI对话应用）,小红书,,"上海市,北京市",本科及以上,不限,,"1、负责 AI 对话应用的 iOS 客户端研发与架构设计，构建流式响应、低延迟的多模态交互体验；
2、负责主对话框架、消息渲染、语音输入、多媒体展示等核心模块开发与维护；
3、优化启动速度、内存、帧率与稳定性，推进客户端性能治理体系化；
4、推动 RN 容器与跨端组件建设，实现多端统一开发与调试体系；
5、与服务端 / 算法 / 产品团队紧密协作，持续优化通信协议与端到端交互体验。","1、拥有1～5 年客户端开发经验（优秀应届生也可聊）；
2、扎实的 Swift / Objective-C 基础，对性能、启动、包体积、流畅度有深度打磨经验；
3、有过从 0 到 1 功能完整落地的经历（加分：复杂交互、动态化、音视频、AI 相关特性）；
4、对产品有敏感度，能主动提出“我觉得可以做得更好”的方案，而不是只当“代码翻译机”；
5、超级强的成事愿力：事情卡住了会自己找资源推，而不是等任务拆得更细。",5,谢静,,,,,https://hunter.xiaohongshu.com/position-detail/17860
【热招】Android 开发工程师 - Hi Lab（点点 AI对话应用）,小红书,,"北京市,上海市",本科及以上,不限,,"1、负责 AI 对话应用的 Android 客户端研发与架构设计，构建流式响应、低延迟的多模态交互体验；
2、负责主对话框架、消息渲染、语音输入、多媒体展示等核心模块开发与维护；
3、优化启动速度、内存、帧率与稳定性，推进客户端性能治理体系化；
4、推动 RN 容器与跨端组件建设，实现多端统一开发与调试体系；
5、与服务端 / 算法 / 产品团队紧密协作，持续优化通信协议与端到端交互体验。","1、精通 Kotlin / Java，具备扎实的 Android 系统与应用层架构经验；
2、熟悉 RecyclerView / Compose 渲染机制与富文本展示框架；
3、有 SSE / WebSocket / HTTP2 流式通信开发经验；
4、具备多媒体（音视频播放、图片加载）、输入法与多模态输入框架开发经验；
5、熟悉客户端性能调优（启动、内存、卡顿、包体积、渲染性能）；
6、具备良好的工程质量意识、代码规范与持续交付经验；
7、有清晰的系统化思维与强烈的 Owner 意识，能主动识别并推动复杂问题闭环；
8、对 AI 对话产品充满热情，对移动端体验和交互创新有敏锐洞察。",5,谢静,,,,,https://hunter.xiaohongshu.com/position-detail/17861
