职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,职位链接
大模型训练框架工程师,上海人工智能创新中心,,上海,--,--,,"1、分布式训练框架开发：主导或深度参与书生系列大模型训练框架的设计、实现与迭代，覆盖多种任务（预训练、SFT、RL等）和多种模态（语言、视频、音频等）。
2、性能极致优化：深入分析训练瓶颈，对计算（GPU/NPU）、通信（NCCL/RDMA）、存储（IO）和内存进行系统性优化，包括不限于算子融合、显存优化等技术。
3、稳定性与可靠性保障：构建高可用的训练系统，确保超大规模集群上长时间训练的稳定性。
协作与支持：与模型研究团队紧密合作，理解其需求并将其转化为框架特性，为研究员提供高性能训练解决方案和技术支持。
4、技术前瞻性研究：跟踪业界最新技术动态，探索并引入新的并行策略、编译技术和硬件协同设计，保持框架的技术领先性。","1、计算机科学、人工智能或相关领域的本科及以上学历。
2、拥有PyTorch开发或深度定制经验，熟悉其自动微分、计算图、张量计算等核心机制。
3、有使用Deepspeed、FSDP、Megatron等框架进行大模型分布式训练的实际项目经验。

加分项：
1、熟悉GPU/NPU硬件架构，有CUDA/OpenMPI内核开发或性能剖析经验（使用Nsight, Triton等工具）。
2、具备分布式系统知识，熟悉NCCL、MPI、gRPC等通信库，对RDMA有了解者优先。
3、参与过知名深度学习框架（PyTorch, TensorFlow）或大规模分布式训练系统的开源贡献。
4、强烈的责任心、出色的分析和解决复杂问题的能力，对高性能计算充满热情。",,孟慧,2026/1/9,https://hire.feishu.cn/hunter/position?job_post_id=7593302299549731113
商业产品经理-端变现（北京/上海）,ByteDance,,北京,本科及以上,5-7 年,,"1、负责抖音/今日头条系/番茄小说系/西瓜视频系/影像等APP的商业产品规划及推进，追求用户体验和商业价值的共同提升，不断提升媒体收入；
2、精细化优化效果广告策略，包括流量策略，样式交互，投放转化漏斗等，提升竞价广告整体收入；
3、分行业优化预算效率，包括漏斗优化以及构建分行业的新营销场域，提升客户价值；
4、与各端用户产品深度合作，保持广告产品功能的迭代和创新，同时探索新变现模式。","1、本科及以上学历，3年以上商业化产品经验，有端变现工作经验加分；
2、良好的商业产品设计能力，对广告机制有全面的了解，在产品形态、样式交互、推荐策略任何一个方向有专业度，并了解其余方向的工作，有实践经验或者在各自领域内做出创新贡献者加分；
3、良好的换位思考及跨团队沟通协作能力，能够站在媒体、客户、用户多角度思考问题，寻找全局最优决策；
4、良好的逻辑思维能力和数据敏感度，善思辨，兼具理性分析和感性判断的能力，能够带领业务不断创新取得突破。",,李家泽,2026/1/8,https://hire.feishu.cn/hunter/position?job_post_id=7262688396475730236
系统性能功耗架构师-移动OS,ByteDance,,北京,本科及以上,3-5 年,,"1、架构设计与技术规划：主导系统性能（CPU/GPU/内存/存储）与功耗（软件功耗/续航优化）的整体架构设计，制定长期技术路线图，输出架构方案、技术规范；
2、底层技术攻坚：深入研究操作系统、硬件驱动、芯片架构，针对性能瓶颈（如卡顿、响应延迟）、功耗痛点（如高发热、续航不足）进行根源性分析与技术突破，主导关键技术方案设计；
3、全链路优化：牵头跨层（硬件-驱动-系统服务-应用）性能功耗优化项目，建立从设计目标、指标定义、测试验证到量产落地的全流程管控体系，推动各团队（硬件、驱动、系统服务、应用）协同落地优化方案；
4、技术创新与预研：跟踪行业前沿技术（如异构计算、动态调频等），开展关键技术预研与原型验证，将创新技术转化为产品竞争力；
5、标准与体系建设：建立系统性能功耗评估体系（如指标体系、测试工具、监控平台），制定技术标准与最佳实践，赋能团队提升整体技术能力。","1、本科及以上学历，计算机科学与技术、电子工程、自动化、通信工程等相关专业，具备系统级性能或功耗相关工作经验，其中3年架构设计经验；
2、对系统级性能/功耗优化有深刻理解和丰富的实践经验，熟练使用性能功耗分析工具，具备复杂问题的定位与攻坚能力；
3、精通操作系统内核（Linux/Android内核优先），深入理解CPU调度、GPU调度、内存管理、IO模型、电源管理框架等核心模块；
4、熟悉芯片架构与硬件原理，掌握CPU/GPU/内存/存储等硬件性能优化方法，了解芯片功耗控制机制。",,王梦雨,2026/1/7,https://hire.feishu.cn/hunter/position?job_post_id=7592498714046302500
AI应用架构师-移动OS,ByteDance,,北京,本科及以上,3-5 年,,"1、负责大模型应用落地全流程工作，包括但不限于数据、训练、评测、推理部署，以及工程链路的建设；
2、LLM算法应用研究与算法落地工作，包括但不限于语言LLM、多模态LLM，Prompt工程/RAG/Agents/SFT/RLHF等LLM相关前沿技术；
3、持续探索在各种用户场景下，利用AI能力增强业务迭代效果；
4、深度参与产品研发项目，和产品经理/业务研发/质量/等同学密切配合，提高项目整体收益。","1、计算机相关专业本科及以上学历，具有LLM开发和实际落地经验；
2、具备LLM相关算法的扎实基础，包括但不限于单模态/多模态LLM训练（RAG/SFT/RLHF/Prompt）、部署和蒸馏等领域的全面学习和实践经验；
3、熟悉主流的Bert/Transformer/ViT/Clip等主流预训练模型，熟练掌握TensorFlow/PyTorch/Keras等任一主流机器学习框架；
4、有较强的业务问题到算法模型的建模能力，有强烈的技术好奇心、自驱力和进取心，能及时关注和学习业界最佳实践。

加分项：
1、有智能终端、穿戴式设备上AI应用落地经验优先。",,王梦雨,2026/1/7,https://hire.feishu.cn/hunter/position?job_post_id=7592501465760090378
大模型平台产品经理-AIDP,ByteDance,,北京,本科及以上,5-7 年,,"1、深入理解全球最前沿的大模型技术，挖掘潜在的高价值应用场景；
2、分析模型问题并定义理想状态，和评估团队一起建立可量化的评估方法；
3、深入调研行业与市场，量化场景价值，拆解目标达成路径，为团队投入提供清晰指引；
4、能深入实际应用场景，理解客户使用大模型的具体痛点，抽象出通用问题，驱动模型改进。","1、本科及以上学历，计算机、人工智能等相关专业优先；对AI技术和应用充满热情，不断学习，追求真知；
2、具备垂直领域搜索优化经验、智能体优化经验及算法团队配合经验；熟悉搜索策略或评测方向产品工作，对深度研究端到端及多智能体架构模型训练和数据生产有认知；
3、有工作流搭建经验或AI智能体搭建经验；熟悉深度研究端到端流程及多智能体架构模型训练与数据生产；
4、具备敏锐、高效获取一手信息的意识和能力，包括但不限于阅读技术论文、体验产品、动手搭建Demo、客户访谈等；出色的分析和抽象能力，能从复杂场景中提炼核心问题，具备量化评估和解决问题的思维能力；
5、有业务向目标管理经验，能对指标负责；熟悉全球大模型服务或AI原生产品；具备AI算法相关领域技术背景，或评估、数据分析相关工作经验者优先；
6、具备强烈的好奇心、优秀的沟通与协同能力、高效的执行力及良好的英文能力；性格稳重可靠。",,张宇,2026/1/7,https://hire.feishu.cn/hunter/position?job_post_id=7592462848967985446
大模型应用技术资深算法工程师-Flow,ByteDance,,北京,本科及以上,5-7 年,,"1、负责SFT（监督微调）、RL（强化学习）等大模型后训练算法的研究与开发，优化模型训练流程，提升模型在各类任务中的性能与表现，增强模型的泛化能力和适应性；
2、负责Coding、翻译、多模态等垂直领域大模型的研发工作，包括需求分析、模型架构设计、数据处理、模型训练与评估，打造贴合行业场景需求的专属大模型解决方案；
3、主导大模型智能体核心算法的研发工作，包括但不限于任务规划、记忆管理、检索增强（RAG）、工具调用（FC/MCP）等关键算法的设计与优化，提升智能体的智能化水平和任务执行效率；
4、持续跟踪行业最新技术动态，结合公司业务需求，对现有大模型算法和垂直领域模型进行优化与迭代，解决模型训练和应用过程中的技术难题，提升模型的效率和质量；
5、与数据、产品、工程等团队紧密配合，参与从数据准备、算法选型到模型部署的全链路工作，确保大模型技术在实际业务场景中的高效落地与应用。","1、人工智能、计算机科学与技术、数学、数据科学等相关专业，硕士以上学位，有相关领域突出成果者优先；
2、精通数据合成、数据分析、自动标注、质量过滤等相关算法和技术，熟悉至少一种主流深度学习框架（如PyTorch、TensorFlow等），具备扎实的机器学习、深度学习理论基础；
3、有代码数据合成、多模态数据合成相关项目经验，熟悉代码结构分析、图像文本融合等技术优先；
4、具备良好的数据分析能力，了解数据质量评估标准和方法，有数据清洗、过滤相关实践经验优先；
5、具有优秀的逻辑思维能力、问题解决能力和创新意识，能够快速学习和掌握新技术；具备良好的团队协作精神和沟通能力，能在跨部门协作中高效推进项目；
6、加分项：在ACL、ICLR、NeurIPS、CVPR等顶级学术会议发表过高影响力研究者优先；在ACM、Kaggle等编程或AI竞赛中获奖者优先；主导或参与过具有广泛影响力的AI开源或闭源项目者优先。",,张宇,2026/1/5,https://hire.feishu.cn/hunter/position?job_post_id=7591741145021991177
大模型数据技术资深算法工程师-Flow,ByteDance,,北京,本科及以上,5-7 年,,"1、负责代码、文本、多模态等数据合成技术的研究与开发，运用大模型和先进算法，合成高质量、多样化的数据，扩充数据规模与多样性，满足大模型训练需求；
2、对大模型训练数据进行深入分析，运用统计学、机器学习等方法挖掘数据特征和规律，识别数据中的噪声、偏差和潜在问题，为数据合成、标注和质量过滤提供数据洞察和优化方向；
3、研究并实现高效的数据自动标注算法，结合自然语言处理、计算机视觉等技术，开发自动化标注工具和流程，提升标注效率和准确性，降低人工标注成本；
4、设计并优化数据质量评估指标和过滤算法，建立数据质量监控体系，对原始数据、合成数据和标注后的数据进行全面质量检测和筛选，确保输入大模型的数据真实、准确、合规；
5、持续跟踪行业前沿数据技术动态，对现有数据处理算法和流程进行优化升级；与产品、工程等团队紧密协作，推动数据处理技术在大模型研发和应用中的高效落地。","1、人工智能、计算机科学与技术、数学、数据科学等相关专业，硕士及以上学位，有相关领域突出成果者优先；
2、精通数据合成、数据分析、自动标注、质量过滤等相关算法和技术，熟悉至少一种主流深度学习框架（如PyTorch、TensorFlow等），具备扎实的机器学习、深度学习理论基础；
3、有代码数据合成、多模态数据合成相关项目经验，熟悉代码结构分析、图像文本融合等技术优先；
4、具备良好的数据分析能力，了解数据质量评估标准和方法，有数据清洗、过滤相关实践经验优先；
5、具有优秀的逻辑思维能力、问题解决能力和创新意识，能够快速学习和掌握新技术；具备良好的团队协作精神和沟通能力，能在跨部门协作中高效推进项目。

加分项
1、在ACL、ICLR、NeurIPS、CVPR等顶级学术会议发表过高影响力研究者优先；
2、在ACM、Kaggle等编程或AI竞赛中获奖者优先；
3、主导或参与过具有广泛影响力的AI开源或闭源项目者优先。",,张宇,2026/1/5,https://hire.feishu.cn/hunter/position?job_post_id=7591721174213347635
AI产品经理,ICC,,上海,本科及以上,7-10 年,P7/P8（或对标3-1/3-2），月薪30K起，上不封顶，具体面议。我们为关键人才提供有吸引力的薪酬和激励。,"【我们的愿景：重塑智能时代的影响力】
每一个时代的更迭，都会诞生新的商业巨擘。在AI技术爆发的今天，我们正站在营销范式转移的临界点。
我们相信，未来的品牌声音不再仅仅源于中心化的广告投放，而是源于数以亿计具备专业深度的行业专家。他们将借助AI的力量，打破信息壁垒，成为连接品牌与大众的超级节点。
我们正在寻找顶尖的产品经理和算法工程师，与我们共同构建这一底层基础设施。如果你渴望用技术重塑人与人、人与品牌的连接方式，如果你不愿做时代的旁观者，而想成为定义智能营销新规则的缔造者，欢迎加入我们，一起在这个万亿级的新赛道中，刻下属于你的名字。

一、岗位定位
负责基于大模型、多模态（音视频/文本）等AI技术，打造面向博主/创作者的C端智能内容创作产品。深度联动公司品牌社交营销核心业务，将营销场景需求与大模型技术能力深度融合，构建“AI+内容创作”的产品闭环，同时实现数据与体验的无缝衔接，助力搭建服务内外部的AI产品生态，赋能创作者高效产出符合社交平台爆款逻辑的营销内容。

二、核心职责
1.用户洞察与需求定义：深耕小红书、抖音、视频号等社交内容生态，研究短视频爆款逻辑与数据关联；挖掘C端博主/创作者在内容创意、视频生成、文案撰写、效率提升等方面的核心痛点，精准定义用户画像、使用场景及产品核心价值。
2.产品规划与落地：主导C端大模型产品从0到1的全生命周期建设，涵盖产品愿景制定、路线图规划、PRD撰写、交互原型设计；聚焦多模态内容生成（智能创意/剪辑、文案生成）、实时交互等核心功能，通过快速迭代完成PMF验证，打造具有商业化价值的端到端产品。
3.技术协同与方案转化：深入理解大模型（训练/微调、推理部署）、音视频编解码、计算机视觉等技术的能力边界与成本结构，将用户需求转化为可执行的技术方案；高效协调研发、设计、算法团队，评估可行性、排序优先级，保障产品高质量交付。","任职要求
（一）核心经验与能力（重点要求）
1.具备3年以上C端产品经理实战经验，独立主导过至少一个C端产品（优先AI原生应用、音视频工具、内容创作类产品）从0到1的全流程落地，并对最终结果负责。
2.对AIGC、多模态大模型、AI智能体有极高热情与深入认知，熟悉NLP/CV/语音等AI技术在内容创作领域的应用，关注行业最新进展（如Sora、ChatTTS等）。
3.深入理解社交内容生态，熟悉小红书、抖音、视频号等平台的内容逻辑和博主生态。
4.具备优秀的跨团队推动力，强逻辑思维、用户洞察力及创新意识，能作为核心枢纽协调研发、设计、运营等多团队，推动复杂项目高效落地。
（二）技能与背景要求
1.学历背景：本科及以上学历，985/211/双一流院校或具备突出项目经验者优先。
2.硬技能：精通Axure、Figma、Xmind等产品工具，擅长PRD撰写；具备基本数据分析能力，熟练使用SQL者优先，掌握Python者加分。
3.技术理解力：理解大模型、音视频技术的基本概念与技术挑战，能与技术团队无障碍沟通需求与方案。
4.特质要求：自我驱动，目标感极强，拥抱变化，在快速试错中寻找最优解；具备谦逊、开放、利他的协作风格。
（三）优先条件
1.有AI驱动的内容创作类产品（如智能剪辑、文案生成工具）从0到1落地经验者优先。
2.有技术背景（算法/开发）或音视频技术（FFmpeg等）基础者优先。
3.熟悉用户使用产品的全生命周期，能够对用户的需求和留存做出更好的判断和产品优化者优先。

为什么加入我们
1.站在业务肩膀之上： 你将直接基于内容专家经验和博主资源网络进行产品创新，拥有极高的试错纯度和启动优势。
2.定义垂直赛道产品： 这是一片蓝海。你不仅是在做一个功能，更有机会深度参与重新定义商业模式的全过程，成就个人职业的标志性作品。
3.直接的价值影响力： 你的工作成果可以快速看到商业价值反馈，获得强烈的职业成就感。
4.有竞争力的回报： 职级P7/P8（或对标3-1/3-2），月薪30K起，上不封顶，具体面议。我们为关键人才提供有吸引力的薪酬和激励。",,龚盼盼,2025/12/29,https://hire.feishu.cn/hunter/position?job_post_id=7588101591497738534
Python算法工程师（视频剪辑算法方向）,ICC,,上海,硕士及以上,3-5 年,,"岗位职责
1. 负责C端产品AI视频剪辑算法的全链路研发：
- 聚焦智能剪辑算法（分镜生成、特效/Bgm/字幕/转场匹配等）；
- 视频内容理解算法（包括镜头语义识别、主体跟踪、节奏匹配）；
- 优化自动化视频剪辑的效率与效果。
2. 独立开展垂类视频模型训练：
- 针对不同内容赛道（如短视频、广告、泛娱乐）定制剪辑模型；
- 迭代算法以提升剪辑的自然度、创意性与用户个性化匹配度。
3. 参与创新性算法研发：探索AI生成+剪辑的融合技术。","任职要求
技能要求
1. 精通Python，熟悉PyTorch / LangChain等技术栈；有Go/Rust，经验为加分项；
2. 具备视频生成算法或视频剪辑算法项目经验，了解智能分镜、智能剪辑、镜头语义分析等技术；
3. 能独立完成算法从原型到落地的工程化实现，具备性能优化能力。

学历与年龄
985/211院校硕士及以上学历。

经验与背景
1. 有创业公司内容生成/视频生成/辅助创作方向相关经验，参与过AI剪辑工具研发优先；
2. 优秀的应届生或在校生，需具备一流高校/大厂视频理解、多媒体算法相关实验室经验；
3. 有管理岗经验、带实习生经验者优先；

我们的优势
1. 拥有对标行业头部AI视频智剪工具的技术，专注于AI视频剪辑等前沿技术的商业化落地；
2. 所在领域为AI视频创作赛道，行业成长性高；从算法到产品的闭环，你的工作直接连接学术前沿与用户产品。你将亲眼看到自己优化的模型，如何提升视频生成质量，或让剪辑效率提升十倍。
3. 构建下一代视频生成与智能剪辑的算法工程体系，直面多模态大模型落地、海量视频数据处理、高性能推理服务的终极挑战。
4. 有竞争力的回报： 提供行业领先的薪资和宽松的创新性研发环境，让你分享公司高速成长的红利，给到上不封顶发展空间。
5. 在小而精的资深团队中，你的技术决策将直接塑造产品形态，拥有极高的技术话语权和可见度。",,童海斌,2025/12/29,https://hire.feishu.cn/hunter/position?job_post_id=7588103183633959177
产品总监（agent）,值得买科技,,北京,本科及以上,10 年以上,,"岗位职责：
1、AI产品战略规划。主导AI导购助手的产品全生命周期管理，制定产品路线图，结合市场趋势、用户需求及技术可行性定义核心功能边界；
2、深入分析电商/零售行业痛点，设计AI导购场景解决方案（如个性化推荐、多模态交互、用户意图识别、跨平台导购策略）；
3、 技术驱动型产品设计。与算法、工程团队深度协作，主导AI能力落地（如商品知识图谱构建、对话式推荐系统、用户行为预测模型）；
4、设计可量化的用户体验指标（如导购转化率、对话任务完成率、用户留存率），建立数据驱动的迭代机制；
5、复杂系统架构把控。主导多端协同设计（App/小程序/智能硬件），确保导购助手与CRM、供应链、支付系统的无缝集成；
6、构建用户画像与实时反馈系统，优化AI模型的在线学习与冷启动效率；
7、商业化与生态拓展。探索导购助手的B端商业模式（如商家SaaS服务、流量分成、精准营销），设计用户价值与商业收益的平衡策略；
8、推动与行业头部平台的技术合作与数据资源整合。","1、5年以上策略型产品经验，主导过复杂AI产品落地；有复杂策略型系统设计经验（如搜索系统、推荐系统、广告算法系统的策略优化）；有3年以上的团队管理经验。
2、强数据能力：熟练掌握AB实验设计、归因分析与漏斗优化；
3、场景拆解力：能将模糊的“提升购物体验”需求转化为可执行的功能模块；
4、技术判断力：在产品设计之外，精通AI技术边界：熟悉NLP（意图识别/情感分析）、推荐系统（协同过滤/深度学习排序）、多模态交互等技术原理；
5、行业认知深度：熟悉导购场景的底层逻辑（用户决策链路/商家痛点评级/平台流量分配规则）。",,王晓峰,2025/12/29,https://hire.feishu.cn/hunter/position?job_post_id=7589161838169016582
AI Agent产品解决方案负责人-基础设施,ByteDance,,北京,本科及以上,不限,,"1、AI云原生解决方案设计：
1）结合客户AI工作流（如大模型训练/推理、自动驾驶仿真、视频分析等），设计基于IaaS的云原生架构方案，优化模型训练/推理的性能、成本与可靠性；
2）主导AI专用加速方案（如混合精度训练、模型量化、分布式推理）的架构选型与落地，推动框架层与基础设施层的协同优化；
2、客户需求分析与价值传递：
1）深入调研客户AI应用场景，提炼核心痛点（如训练周期长、推理延迟高、资源成本高等）；
2）通过技术白皮书、架构设计图、POC验证等方式，向客户展示IaaS平台在AI场景下的性能优势（如训练速度提升、推理成本降低等）；
3、跨团队协作与生态整合：
1）与研发团队协同定义技术实现路径，推动算子优化、框架适配等需求落地；
2）联合产品经理规划解决方案路标，确保技术方案与商业策略对齐；
3）整合ISV、AI框架社区资源，构建AI云原生解决方案生态；
4、行业趋势与竞争分析：
1）跟踪AI云原生技术发展（如Kubernetes原生AI、推理加速），输出行业洞察报告；
2）对标市场AI云服务，制定差异化竞争策略。","1、专业背景：
1）本科及以上学历，计算机科学、人工智能、电子信息等相关专业；
2）有AI解决方案交付或云原生架构设计案例；
2、技术技能：
1）熟悉主流深度学习框架（TensorFlow/PyTorch/Dynamo）的技术原理与性能瓶颈；
2）理解云原生技术栈（Kubernetes/Docker/Service Mesh）的架构设计逻辑；
3）掌握AI性能分析工具（如Profiler、TensorBoard等）及优化方法论（如模型压缩、PD分离等）；
3、软技能：
1）具备技术方案产品化能力，能将复杂技术转化为客户可感知的价值（如成本、速度、稳定性）；
2）优秀的管理能力和跨团队沟通能力，能协调研发、产品、客户多方资源推动项目落地。",,郭凡,2025/12/22,https://hire.feishu.cn/hunter/position?job_post_id=7524273847332981042
纠纷仲裁服务策略负责人-抖音电商,ByteDance,,上海,本科及以上,10 年以上,,"1、深度理解并洞察电商行业用户问题，制定售后方向的体验策略，并对按照不同场景进行差异化的拆解；
2、能够基于数据和VOC、VOB，定位核心痛点，统筹B/C端服务流程的设计；
3、牵头智能化能力建设及迭代，将人工经验沉淀为AI策略；
4、建立体验保障机制，建立预警、应急响应与复盘闭环，改善服务品质。","1、5年以上互联网/电商平台BC端体验策略或产品运营经验，3年以上团队管理经历；
2、熟悉电商平台等平台规则，有0-1搭建体验衡量体系或智能化项目实操案例；
3、具备出色数据分析、用户研究、流程设计与项目管理能力，能快速将洞察转化为产品化解决方案；
4、对生成式AI在客服、物流、售后等场景的应用有深度理解，有成功推动人工经验向智能策略转化经验；
5、自驱、沟通协同力强，以结果为导向推动业务持续进化。",,毕篮心,2025/12/19,https://hire.feishu.cn/hunter/position?job_post_id=7585523662901086515
消费者服务品质负责人-抖音电商,ByteDance,,上海,本科及以上,10 年以上,,"1、基于电商客服全链路服务流程，搭建质量检测体系，制定质检标准、抽检规则与评分模型；
2、负责服务交付质量的管理与提升，通过多种探查手段、数据归因等，对服务问题进行归因分析，输出改进方案并推动落地；
3、搭建智能质检与质检知识库运营机制，将人工经验沉淀为AI训练语料，推动智能对话、智能工单、智能质检等产品迭代；
4、能够从品质角度设计并牵头提效项目，持续降低投诉率、提升一次解决率与满意度。","1、5年以上电商/互联网平台客服质控或产品运营经验，其中至少2年团队管理经验；
2、熟悉电商平台客服规则，搭建质检体系或智能质检项目经验者优先；
3、具备出色的产品思维、数据分析、流程设计能力；
4、对生成式AI在客服场景的应用有实践或深度理解，具备将人工经验转化为智能产品的实操案例；
5、自驱、沟通协同力强，对服务体验极致追求。",,毕篮心,2025/12/19,https://hire.feishu.cn/hunter/position?job_post_id=7585513657900419378
物流运营专家-TikTok Shop,ByteDance,,上海,本科及以上,10 年以上,,"1、全面主导运营工作：负责印尼地区端到端物流运营，统筹管理揽干派物流及仓储物流环节，确保运营工作卓越高效；
2、管理财务表现：负责维持高服务标准的同时，管控成本、提升盈利能力与运营效率，对所辖区域的业务盈亏（P&L）负责；
3、跨部门协作：与结算、采购、财务、人力资源、产品等其他部门紧密合作，识别并解决关键问题；
4、推动持续优化：通过创新与流程改进，在成本控制、服务等级协议（SLA）及货损货差（L&D）管理方面实现绩效提升；
5、团队管理：搭建物流各职能领域的高效团队，提供指导并带领团队发展。","1、本科及以上学历，具备丰富的物流、供应链或运营领域工作经验；
2、具备领导团队及管理复杂运营项目的实战经验与成功案例，具备跨部门协作能力，能够影响不同层级的相关方；
3、具备较强的财务管理意识，拥有优化成本结构、提升运营效率的经验；
4、具备出色的问题解决能力与数据分析能力，能够将挑战转化为切实可行的解决方案；
5、沟通能力强，英语口语流利，具备印尼语能力者优先；
6、具备抗压能力与创业思维，能适应快节奏、高增长的工作环境。",,施淼,2025/12/19,https://hire.feishu.cn/hunter/position?job_post_id=7554975863738190134
调度策略工程师-运筹优化方向,MiniMax,,上海、北京,--,--,,"我们正在寻找对大规模资源调度算法有深入理解的研发工程师，职位将工作在MiniMax GPU调度系统这一层级，通过先进的算法实现复杂服务体系在大规模多GPU集群下的调度分配决策。
你将直接负责调度系统Moderator模块的设计与演进。这是调度的“大脑”，负责在复杂的约束条件和优化目标（资源配额、业务优先级、迁移成本、状态感知、SLA）下，利用运筹优化理论法求解全局最优的资源分配方案，并设计状态转移矩阵完成方案的执行。工作内容包括并不限于：
1. 深入理解Minimax模型以及资源场景，将复杂的现实场景（如不同机房的资源配额、模型与异构资源的适配性、KvCache的感知与处理，跨地域迁移的延迟惩罚、业务降级策略）抽象为数学模型中的约束条件和目标函数。
2. 将理论算法工程化，应用高效的求解器得到鲁棒解，确保在分钟级调度周期内完成复杂约束下万级 Pod 规模的决策计算。
3. 对整体模块负责，优化数据流与决策链路，提升系统的稳定性与可观测性。","1. 应用数学、运筹学、计算机科学或相关专业，本科及以上学历；
2. 能熟练使用一种编程语言，包括不限于Python/Shell/Golang/C++/C；
3. 有良好的团队沟通和协作能力，有良好的责任心；
4. 有调度领域相关经验优先；
5. 在运筹优化或调度领域的开源项目中有贡献者优先。
6. 有LLM领域相关经验优先。",,思齐,2025/12/18,https://hire.feishu.cn/hunter/position?job_post_id=7585089656326146355
